CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME
AA,2372,DFW,IAH,1033,1145
AA,2373,LAX,DFW,1730,2238
AA,2375,ORD,DFW,1820,2054
AA,2376,DFW,MSY,1835,1959
AA,2377,TUS,DFW,1124,1430
AA,2378,BOS,PHX,600,1016
AA,2378,PHX,SAN,1122,1143
AA,2379,MIA,STT,1755,2132
AA,2380,DEN,ORD,955,1324
AA,2381,LAX,MCO,1005,1754
AA,2382,JFK,MIA,1355,1710
AA,2384,IAH,DFW,1232,1345
AA,2385,DFW,SAT,1800,1908
AA,2385,SAT,DFW,1955,2107
AA,2386,DFW,OKC,1439,1535
AA,2387,ORD,BOS,1508,1818
AA,2388,MCO,ORD,1700,1905
AA,2390,DFW,EWR,1020,1435
AA,2392,DFW,EGE,1330,1447
AA,2392,EGE,DFW,1555,1907
AA,2394,MCI,DFW,940,1123
AA,2396,DFW,OMA,1855,2041
AA,2398,LAX,EGE,945,1312
AA,2400,DFW,EGE,1637,1759
AA,2401,DFW,LAX,705,842
AA,2402,ABQ,DFW,1637,1922
AA,2402,DFW,ABQ,1458,1551
AA,2407,JFK,PHX,955,1346
AA,2407,PHX,SEA,1458,1708
AA,2408,DFW,ATL,1845,2150
AA,2409,DFW,LAX,1725,1852
AA,2410,DFW,LAX,837,1010
AA,2411,LAS,MIA,825,1600
AA,2412,SAT,DFW,909,1020
AA,2413,SEA,DFW,1342,1932
AA,2414,MIA,SJU,1359,1735
AA,2415,MIA,LGA,1756,2049
AA,2415,SJU,MIA,1123,1314
AA,2418,DFW,JAX,2035,2349
AA,2419,DTW,DFW,1710,1919
AA,2420,LAX,DFW,600,1108
AA,2421,MIA,STT,1159,1535
AA,2421,STT,MIA,1654,1909
AA,2423,DFW,MSP,1215,1433
AA,2423,MSP,DFW,1513,1803
AA,2424,MIA,AUS,1959,2205
AA,2426,DFW,TUL,1840,1944
AA,2427,DFW,ONT,2215,2326
AA,2427,MIA,DFW,1710,1928
AA,2428,RDU,DFW,538,754
AA,2429,DFW,SAT,1845,1956
AA,2430,CMH,DFW,1858,2054
AA,2430,DFW,CMH,1455,1812
AA,2431,PHX,SNA,855,915
AA,2433,DFW,MCO,1245,1618
AA,2433,SFO,DFW,615,1144
AA,2434,DFW,MCO,1715,2047
AA,2435,MIA,LAX,1525,1828
AA,2437,ATL,LAX,1055,1310
AA,2438,LAX,ORD,2245,458
AA,2439,MIA,ORD,1005,1231
AA,2441,SLC,MIA,130,819
AA,2442,ORD,PBI,1845,2244
AA,2443,MIA,DEN,1621,1846
AA,2444,STL,LAX,800,1020
AA,2445,JAC,DFW,727,1135
AA,2447,MCO,MIA,1924,2039
AA,2447,MIA,MCO,1726,1834
AA,2448,BNA,DFW,710,920
AA,2450,LAX,DFW,800,1308
AA,2452,ORD,LAX,2028,2310
AA,2453,LAX,DFW,700,1206
B6,1968,PBI,HPN,1850,2131
B6,1969,BOS,FLL,1630,2006
B6,1970,FLL,BOS,620,921
B6,1973,EWR,TPA,1950,2252
B6,1979,DCA,FLL,1618,1904
B6,1980,LGB,LAS,1745,1850
B6,1983,JFK,MCO,505,751
B6,1990,SJU,EWR,505,811
B6,1998,MCO,LGA,1004,1238
B6,2002,JFK,BUF,2245,6
B6,2006,FLL,EWR,600,844
B6,2007,PIT,FLL,700,957
B6,2008,FLL,PIT,2006,2238
B6,2019,ORH,FLL,1255,1616
B6,2020,FLL,ORH,920,1215
B6,2023,JFK,LAX,2245,155
B6,2024,LAX,JFK,2359,816
B6,2028,MCO,EWR,530,758
B6,2035,STT,SJU,1550,1629
B6,2051,BOS,MCO,1910,2230
B6,2053,JFK,PBI,1429,1730
B6,2054,SJU,FLL,2120,2302
B6,2067,HPN,PBI,1459,1757
B6,2070,FLL,BOS,1513,1824
B6,2074,TPA,EWR,1825,2102
B6,2079,LAS,LGB,1935,2037
B6,2080,FLL,DCA,1835,2055
B6,2090,MCO,JFK,729,954
B6,2101,BUF,JFK,829,953
B6,2106,FLL,EWR,1531,1825
B6,2116,JAX,DCA,1018,1200
B6,2135,SFO,LGB,1745,1903
B6,2136,LGB,SFO,1530,1658
B6,2168,PBI,HPN,1514,1757
B6,2169,BOS,FLL,1415,1750
B6,2170,FLL,BOS,2055,2351
B6,2189,JFK,MCO,1459,1802
B6,2191,BOS,TPA,825,1155
B6,2202,JFK,BUF,1559,1734
B6,2224,MCO,DCA,1450,1655
B6,2227,EWR,MCO,2110,2355
B6,2269,BOS,FLL,1216,1551
B6,2275,BDL,SJU,2145,233
B6,2276,SJU,BDL,345,645
B6,2280,EWR,BOS,836,947
B6,2283,BOS,RDU,610,822
B6,2288,SFO,LAS,1020,1154
B6,2289,DTW,FLL,715,1022
B6,2301,BUF,JFK,1050,1206
B6,2302,JFK,BUF,1425,1551
B6,2323,DCA,MCO,2055,2313
